03220,322 Studebaker
04091,409 Studebaker
06010,601 Studebaker
31220,3122 Sunnymede
11341,1134 Sussex
17012,1701 Swygart
02271,227 N Taylor
16202,1620 Taylor
16210,1621 Taylor
17072,1707 Taylor
17201,1720 Taylor
20040,2004 Taylor
21370,2137 Taylor
11232,1123 Thomas
11301,1130 Thomas
11382,1138 Thomas
11463,1146 Thomas
12031,1203 Thomas
12221,1222 Thomas
08132,813 Van Buren
08164,816 Van Buren
08294,829 Van Buren
11131,1113 Van Buren
12070,1207 Van Buren
12094,1209 Van Buren
12190,1219 Van Buren
12330,1233 Van Buren
14010,1401 Van Buren
15300,1530 Van Buren
10342,1034 Vassar
18144,1814 Vassar
02292,229 Victoria
02110,211 N Walnut
03171,317 N Walnut
03221,322 N Walnut
03263,326 N Walnut
04181,418 N Walnut
04201,420 N Walnut
04213,421 S Walnut
04252,425 N Walnut
05022,502 N Walnut
05182,518 N Walnut
06122,612 N Walnut
06171,617 N Walnut
06183,618 S Walnut
06230,623 N Walnut
07340,734 S Walnut
08144,814 S Walnut
07461,746 S Warren
10253,1025 W Washington
11302,1130 W Washington
26020,2602 W Washington
05095,509 W Wayne
10102,1010 E Wayne
06080,608 Webster
07281,728 Webster
08201,820 Webster
02090,209 S Wellington
02140,214 S Wellington
02450,245 N Wellington
05183,518 S Wellington
08241,824 S Wellington
13121,1312 Western
17181,1718 Western
18181,1818 Western
35230,3523 Western
25131,2513 Westmoor
29010,2901 Westmoor
10154,1015 N Wilber
16091,1609 N Wilber
02121,212 S William
03190,319 William
16203,1620 S William
18010,1801 S William
18145,1814 S William
18202,1820 S William
18221,1822 S William
36230,3623 Woldhaven
05112,511 Woodside
10343,1034 Woodward
